fd,model,rmse,nasa_score
FD001,lstm,13.169930458068848,310.267306204593
FD001,cnn,19.748151779174805,1305.2238228210786
FD002,cnn,21.665035247802734,2770.866822250522
FD002,lstm,43.427127838134766,60482.08039198782
FD003,lstm,15.85855770111084,1170.0157485466636
FD003,cnn,18.728229522705078,996.9654767623935
FD004,cnn,23.63077163696289,10126.570206254462
FD004,lstm,44.14422607421875,100042.77881767071
