fd,model,loss,window,lr,hp,seed,val_rmse,test_rmse,nasa,sec
FD002,cnn,mse,50,0.0005,"ch128,k5,poolmax,p0.2",7,24.424,24.963,5105.9,41.1
FD002,cnn,asym,30,0.0005,"ch128,k7,poolavg,p0.2",7,18.69,18.854,1580.6,11.1
FD002,cnn,asym,50,0.0005,"ch128,k7,poolmax,p0.2",7,22.039,22.137,3024.0,35.7
FD002,lstm,mse,30,0.0005,"hid64,layers1,p0.3",7,14.915,13.816,899.5,29.8
FD002,lstm,mse,50,0.0005,"hid64,layers2,p0.3",7,13.539,13.072,745.6,20.7
FD002,lstm,asym,30,0.0005,"hid64,layers3,p0.3",7,15.302,14.568,1229.6,32.6
FD002,lstm,asym,50,0.0005,"hid96,layers1,p0.3",7,13.104,12.72,691.3,28.4
FD002,lstm,mse,30,0.0005,"hid96,layers3,p0.2",7,15.01,14.685,1260.0,35.8
FD002,lstm,mse,50,0.0005,"hid128,layers1,p0.2",7,13.489,13.131,804.3,36.2
FD002,lstm,asym,30,0.0005,"hid128,layers2,p0.2",7,15.037,14.237,1106.8,50.9
FD002,lstm,asym,50,0.0005,"hid128,layers3,p0.2",7,13.61,12.506,648.6,88.3
FD002,lstm,mse,30,0.0005,"hid160,layers1,p0.3",7,15.083,14.457,1130.9,106.7
FD002,lstm,mse,50,0.0005,"hid160,layers2,p0.3",7,13.467,12.586,707.4,171.2
FD002,lstm,mse,50,0.001,"hid160,layers3,p0.3",7,41.336,42.962,38349.5,150.3
FD002,gru,mse,50,0.0005,"hid64,layers1,p0.2",7,18.112,15.63,1068.5,52.0
FD002,gru,asym,30,0.001,"hid64,layers1,p0.3",7,14.916,13.511,749.1,31.0
FD002,gru,asym,30,0.0005,"hid64,layers2,p0.2",7,15.098,13.962,927.4,26.9
FD002,gru,asym,50,0.001,"hid64,layers2,p0.3",7,13.232,12.943,741.3,18.4
FD002,gru,asym,50,0.0005,"hid64,layers3,p0.2",7,13.395,13.011,681.9,26.7
FD002,gru,mse,30,0.001,"hid96,layers1,p0.2",7,15.053,14.169,970.1,40.3
FD002,gru,mse,30,0.0005,"hid96,layers1,p0.3",7,14.777,13.757,869.2,54.5
FD002,gru,mse,50,0.001,"hid96,layers2,p0.2",7,13.183,12.647,680.6,22.8
FD002,gru,mse,50,0.0005,"hid96,layers2,p0.3",7,13.132,13.073,750.6,34.4
FD002,gru,asym,30,0.001,"hid96,layers3,p0.2",7,14.889,13.276,819.0,26.7
FD002,gru,asym,30,0.0005,"hid96,layers3,p0.3",7,14.999,13.904,882.9,30.5
FD002,gru,asym,50,0.001,"hid128,layers1,p0.2",7,13.495,12.908,684.6,23.6
FD002,gru,asym,50,0.0005,"hid128,layers1,p0.3",7,16.391,15.497,819.1,55.4
FD002,gru,mse,30,0.001,"hid128,layers2,p0.3",7,14.923,13.473,874.2,24.9
FD002,gru,mse,30,0.0005,"hid128,layers3,p0.2",7,14.997,13.976,970.6,32.5
FD002,gru,mse,50,0.001,"hid128,layers3,p0.3",7,13.198,12.971,730.4,27.5
FD002,bilstm,mse,50,0.0005,"hid64,layers1,p0.2",7,13.48,13.472,858.8,27.3
FD002,bilstm,asym,30,0.001,"hid64,layers1,p0.3",7,15.341,14.449,888.8,26.8
FD002,bilstm,asym,30,0.0005,"hid64,layers2,p0.2",7,14.884,14.104,1076.0,30.5
FD002,bilstm,asym,50,0.001,"hid64,layers2,p0.3",7,13.719,13.15,735.9,25.3
FD002,bilstm,asym,50,0.0005,"hid96,layers1,p0.2",7,13.65,12.947,625.7,32.7
FD002,bilstm,mse,30,0.001,"hid96,layers2,p0.2",7,15.131,14.085,1041.9,41.0
FD002,bilstm,mse,30,0.0005,"hid96,layers2,p0.3",7,14.937,14.045,1018.8,37.2
FD002,bilstm,mse,50,0.001,"hid128,layers1,p0.2",7,13.242,12.855,812.0,51.0
FD002,bilstm,mse,50,0.0005,"hid128,layers1,p0.3",7,13.308,12.755,750.2,54.2
FD002,bilstm,asym,30,0.001,"hid128,layers2,p0.2",7,15.119,14.07,959.7,50.8
FD002,bilstm,asym,30,0.0005,"hid128,layers2,p0.3",7,14.999,14.2,897.4,34.5
FD002,cnnlstm,asym,50,0.001,"ch32,hid64,p0.2",7,14.384,14.616,1058.4,19.1
FD002,cnnlstm,asym,50,0.0005,"ch32,hid64,p0.3",7,14.987,15.2,923.4,19.3
FD002,cnnlstm,mse,30,0.001,"ch32,hid96,p0.3",7,15.706,14.35,1107.2,22.1
FD002,cnnlstm,mse,30,0.0005,"ch32,hid128,p0.2",7,15.865,14.647,1203.2,20.9
FD002,cnnlstm,mse,50,0.001,"ch32,hid128,p0.3",7,15.018,13.76,739.3,16.7
FD002,cnnlstm,mse,50,0.0005,"ch64,hid64,p0.2",7,15.956,15.505,887.4,13.9
FD002,cnnlstm,asym,30,0.001,"ch64,hid64,p0.3",7,16.63,16.217,1050.0,12.8
FD002,cnnlstm,asym,30,0.0005,"ch64,hid96,p0.2",7,16.413,16.266,1527.9,16.2
FD002,cnnlstm,asym,50,0.001,"ch64,hid96,p0.3",7,14.678,13.973,795.0,15.2
FD002,cnnlstm,asym,50,0.0005,"ch64,hid128,p0.2",7,14.752,15.017,863.2,16.4
FD002,tcn,mse,30,0.001,"ch32,levels3,p0.1",7,16.915,15.196,1163.4,21.2
FD002,tcn,mse,30,0.0005,"ch32,levels3,p0.2",7,16.336,15.396,1196.0,39.2
FD002,tcn,mse,30,0.001,"ch32,levels4,p0.1",42,16.313,14.761,1199.7,22.8
FD002,tcn,asym,50,0.001,"ch32,levels4,p0.1",42,14.691,14.008,972.1,21.1
FD002,tcn,asym,30,0.001,"ch32,levels4,p0.2",42,16.028,14.085,990.4,27.4
FD002,tcn,mse,50,0.001,"ch32,levels5,p0.1",42,14.504,14.045,786.8,20.6
FD002,tcn,mse,30,0.001,"ch32,levels5,p0.2",42,16.034,14.657,1030.4,35.2
FD002,tcn,asym,50,0.001,"ch32,levels5,p0.2",42,14.618,14.353,768.8,29.4
FD002,tcn,asym,30,0.001,"ch32,levels6,p0.1",42,16.298,15.302,1001.1,24.2
FD002,tcn,mse,50,0.001,"ch32,levels6,p0.2",42,14.415,13.514,727.1,25.5
FD002,tcn,mse,30,0.001,"ch64,levels3,p0.1",42,16.529,15.329,1248.2,19.8
FD002,tcn,asym,50,0.001,"ch64,levels3,p0.1",42,17.671,15.453,1098.0,16.2
FD002,tcn,asym,30,0.001,"ch64,levels3,p0.2",42,16.48,15.161,1294.7,24.3
FD002,tcn,mse,50,0.001,"ch64,levels4,p0.1",42,15.366,14.359,828.7,16.9
FD002,tcn,mse,30,0.001,"ch64,levels4,p0.2",42,16.385,16.06,1259.3,24.2
FD002,tcn,asym,50,0.001,"ch64,levels4,p0.2",42,15.18,15.307,875.9,26.4
FD002,tcn,asym,30,0.001,"ch64,levels5,p0.1",42,16.966,15.575,1038.4,22.1
FD002,tcn,mse,50,0.001,"ch64,levels5,p0.2",42,14.962,14.438,940.4,27.3
FD002,tcn,mse,30,0.001,"ch64,levels6,p0.1",42,16.493,15.062,1077.1,23.1
FD002,tcn,asym,50,0.001,"ch64,levels6,p0.1",42,14.988,15.158,858.0,23.8
FD002,tcn,asym,30,0.001,"ch64,levels6,p0.2",42,16.139,14.837,1050.3,28.0
FD002,tcn,mse,50,0.001,"ch96,levels3,p0.1",42,17.359,15.516,1238.0,18.8
FD002,tcn,mse,30,0.001,"ch96,levels3,p0.2",42,16.948,15.316,1421.7,20.3
FD002,tcn,asym,50,0.001,"ch96,levels3,p0.2",42,17.386,16.209,1172.0,22.9
FD002,tcn,asym,30,0.001,"ch96,levels4,p0.1",42,16.806,16.237,1279.9,21.1
FD002,tcn,mse,50,0.001,"ch96,levels4,p0.2",42,15.369,15.032,1439.2,38.4
FD002,tcn,mse,30,0.001,"ch96,levels5,p0.1",42,16.974,15.707,1469.3,21.9
FD002,tcn,asym,50,0.001,"ch96,levels5,p0.1",42,15.062,14.968,884.2,22.6
FD002,tcn,asym,30,0.001,"ch96,levels5,p0.2",42,16.532,15.663,1018.1,19.6
FD002,tcn,mse,50,0.001,"ch96,levels6,p0.1",42,14.573,15.3,1065.4,19.5
FD002,tcn,mse,30,0.001,"ch96,levels6,p0.2",42,16.526,15.618,1066.7,20.2
FD002,tcn,asym,50,0.001,"ch96,levels6,p0.2",42,14.519,14.057,1121.9,21.2
FD002,dlinear,mse,30,0.001,kernel25,42,15.463,14.192,949.6,56.2
FD002,dlinear,mse,50,0.001,kernel35,42,13.801,14.162,1208.6,56.8
FD002,patchtst,asym,30,0.001,"patch10,stride5,d_model64,layers2,revinTrue",42,16.955,17.648,1562.0,132.8
