fd,model,loss,window,lr,hp,seed,val_rmse,test_rmse,nasa,sec
FD002,cnnlstm,asym,50,0.0005,"ch64,hid64,p0.3",7,16.616,15.784,1262.0,16.5
FD002,cnnlstm,mse,30,0.001,"ch64,hid96,p0.3",7,15.945,14.784,1023.7,15.3
FD002,cnnlstm,mse,30,0.0005,"ch64,hid128,p0.2",7,15.991,15.914,1439.7,16.6
FD002,cnnlstm,mse,50,0.001,"ch64,hid128,p0.3",7,14.471,12.97,722.0,15.3
FD002,tcn,mse,50,0.0005,"ch32,levels3,p0.1",7,17.174,15.037,1171.5,28.8
FD002,tcn,asym,30,0.001,"ch32,levels3,p0.2",7,16.4,15.559,1296.6,29.6
FD002,tcn,mse,50,0.001,"ch32,levels4,p0.1",7,14.822,13.73,882.2,22.3
FD002,tcn,mse,30,0.001,"ch32,levels4,p0.2",7,15.847,15.151,1134.5,37.3
FD002,tcn,asym,50,0.001,"ch32,levels4,p0.2",7,14.746,14.032,930.0,40.1
FD002,tcn,asym,30,0.001,"ch32,levels5,p0.1",7,16.385,14.876,1156.9,27.9
FD002,tcn,mse,50,0.001,"ch32,levels5,p0.2",7,14.059,12.893,841.8,28.2
FD002,tcn,mse,30,0.001,"ch32,levels6,p0.1",7,16.178,15.742,1451.3,33.1
FD002,tcn,asym,50,0.001,"ch32,levels6,p0.1",7,14.204,13.553,1002.2,28.0
FD002,tcn,asym,30,0.001,"ch32,levels6,p0.2",7,16.389,15.513,1054.0,31.2
FD002,tcn,mse,50,0.001,"ch64,levels3,p0.1",7,17.269,14.778,1268.5,17.1
FD002,tcn,mse,30,0.001,"ch64,levels3,p0.2",7,17.178,14.868,1782.5,30.7
FD002,tcn,asym,50,0.001,"ch64,levels3,p0.2",7,17.053,14.63,1056.3,16.5
FD002,tcn,asym,30,0.001,"ch64,levels4,p0.1",7,16.577,14.806,1112.5,18.5
FD002,tcn,mse,50,0.001,"ch64,levels4,p0.2",7,14.751,14.203,980.4,25.4
FD002,tcn,mse,30,0.001,"ch64,levels5,p0.1",7,16.026,14.434,1079.2,23.0
FD002,tcn,asym,50,0.001,"ch64,levels5,p0.1",7,14.6,13.451,838.5,21.2
FD002,tcn,asym,30,0.001,"ch64,levels5,p0.2",7,15.998,15.828,1213.2,27.6
FD002,tcn,mse,50,0.001,"ch64,levels6,p0.1",7,14.898,14.022,865.9,24.0
FD002,tcn,mse,30,0.001,"ch64,levels6,p0.2",7,16.026,15.388,1313.9,29.9
FD002,tcn,asym,50,0.001,"ch64,levels6,p0.2",7,14.407,13.663,890.1,30.5
FD002,tcn,asym,30,0.001,"ch96,levels3,p0.1",7,17.053,16.459,1439.2,19.2
FD002,tcn,mse,50,0.001,"ch96,levels3,p0.2",7,16.882,14.961,1165.4,22.7
FD002,tcn,mse,30,0.001,"ch96,levels4,p0.1",7,16.759,15.846,1421.6,21.9
FD002,tcn,asym,50,0.001,"ch96,levels4,p0.1",7,15.138,14.887,920.9,23.4
FD002,tcn,asym,30,0.001,"ch96,levels4,p0.2",7,16.577,15.519,1295.1,25.1
FD002,tcn,mse,50,0.001,"ch96,levels5,p0.1",7,15.458,14.656,1096.8,24.9
FD002,tcn,mse,30,0.001,"ch96,levels5,p0.2",7,16.488,15.964,1510.4,29.9
FD002,tcn,asym,50,0.001,"ch96,levels5,p0.2",7,14.759,14.1,899.5,32.7
FD002,tcn,asym,30,0.001,"ch96,levels6,p0.1",7,17.113,16.353,1281.0,36.7
FD002,tcn,mse,50,0.001,"ch96,levels6,p0.2",7,14.746,14.16,1145.9,44.5
FD002,dlinear,mse,30,0.001,kernel15,7,15.756,14.684,980.2,81.9
FD002,dlinear,mse,50,0.001,kernel25,7,14.513,14.394,1018.7,80.3
FD002,patchtst,mse,30,0.001,"patch10,stride5,d_model64,layers2,revinTrue",7,16.821,17.851,1663.8,181.5
FD002,patchtst,asym,30,0.0005,"patch10,stride5,d_model64,layers2,revinTrue",7,16.989,18.139,1605.2,150.8
FD002,patchtst,mse,50,0.001,"patch10,stride5,d_model64,layers2,revinFalse",42,13.024,13.04,735.3,129.7
FD002,patchtst,asym,50,0.001,"patch10,stride5,d_model64,layers2,revinFalse",7,12.855,12.808,654.9,151.0
FD002,patchtst,mse,50,0.0005,"patch10,stride5,d_model64,layers3,revinTrue",42,13.89,17.875,2260.9,276.9
FD002,patchtst,asym,50,0.0005,"patch10,stride5,d_model64,layers3,revinTrue",7,14.046,19.511,4176.1,230.4
FD002,patchtst,asym,30,0.001,"patch10,stride5,d_model64,layers3,revinFalse",42,14.791,13.829,739.6,140.7
FD002,patchtst,mse,30,0.001,"patch10,stride5,d_model128,layers2,revinTrue",7,17.893,17.989,1930.2,200.2
FD002,patchtst,asym,30,0.0005,"patch10,stride5,d_model128,layers2,revinTrue",42,17.218,17.983,1802.0,123.4
FD002,patchtst,mse,30,0.0005,"patch10,stride5,d_model128,layers2,revinFalse",7,15.242,13.705,796.5,102.9
FD002,patchtst,asym,50,0.001,"patch10,stride5,d_model128,layers2,revinFalse",42,13.24,13.379,773.0,131.7
FD002,patchtst,mse,50,0.001,"patch10,stride5,d_model128,layers3,revinTrue",7,21.143,25.737,9278.9,162.6
