fd,model,loss,window,lr,hp,test_rmse,test_rmse_std,nasa,val_rmse,n
FD001,bilstm,asym,30,0.0,"hid64,layers2,p0.3",13.065,0.373,248.35,13.867,2
FD001,lstm,mse,30,0.001,"hid160,layers2,p0.3",13.083,0.139,329.85,12.937,2
FD001,bilstm,asym,30,0.0,"hid96,layers2,p0.3",13.11,0.389,303.1,12.747,2
FD001,lstm,asym,30,0.0,"hid160,layers2,p0.3",13.114,0.173,282.0,13.349,2
FD001,gru,asym,30,0.0,"hid64,layers3,p0.3",13.118,0.084,297.0,12.769,2
FD001,lstm,mse,30,0.001,"hid160,layers1,p0.3",13.143,0.15,282.75,12.805,2
FD001,bilstm,mse,30,0.0,"hid64,layers2,p0.3",13.148,0.686,312.4,13.991,2
FD001,bilstm,asym,30,0.0,"hid96,layers1,p0.2",13.151,0.295,286.0,13.402,2
FD001,lstm,asym,30,0.0,"hid128,layers3,p0.3",13.155,0.898,287.45,13.092,2
FD001,gru,asym,30,0.001,"hid96,layers3,p0.3",13.156,0.138,293.3,12.435,2
FD001,gru,asym,50,0.0,"hid96,layers3,p0.3",13.162,0.107,262.95,10.827,2
FD001,gru,mse,30,0.001,"hid128,layers3,p0.3",13.17,0.189,299.0,12.531,2
FD001,bilstm,asym,30,0.0,"hid128,layers1,p0.3",13.172,0.071,301.5,12.847,2
FD001,bilstm,asym,30,0.0,"hid96,layers1,p0.3",13.179,0.33,282.8,13.152,2
FD001,gru,mse,30,0.001,"hid128,layers1,p0.2",13.192,0.059,270.9,12.578,2
FD001,gru,mse,30,0.0,"hid64,layers3,p0.3",13.199,0.059,294.3,12.742,2
FD001,bilstm,asym,30,0.001,"hid64,layers1,p0.3",13.2,0.011,275.75,13.497,2
FD001,gru,asym,30,0.001,"hid128,layers2,p0.2",13.202,0.17,287.3,12.402,2
FD001,lstm,asym,30,0.0,"hid64,layers2,p0.2",13.202,0.105,319.35,13.49,2
FD001,gru,asym,30,0.001,"hid96,layers3,p0.2",13.218,0.057,290.2,12.506,2
FD001,bilstm,asym,30,0.001,"hid64,layers2,p0.3",13.229,0.87,333.65,13.158,2
FD001,lstm,asym,30,0.0,"hid96,layers1,p0.2",13.242,0.612,356.15,13.144,2
FD001,bilstm,asym,30,0.0,"hid96,layers2,p0.2",13.256,1.167,364.45,13.124,2
