fd,model,loss,window,lr,hp,seed,val_rmse,test_rmse,nasa,sec
FD002,cnn,mse,30,0.001,"ch128,k5,poolmax,p0.2",7,20.656,20.772,2250.1,13.6
FD002,cnn,mse,50,0.001,"ch128,k7,poolavg,p0.2",7,20.12,20.388,2218.2,14.2
FD002,cnn,asym,30,0.001,"ch128,k7,poolmax,p0.2",7,19.66,19.377,1625.1,12.2
FD002,lstm,asym,50,0.001,"hid64,layers1,p0.2",7,13.394,13.1,716.7,17.2
FD002,lstm,mse,30,0.001,"hid64,layers2,p0.3",7,14.973,14.573,1121.2,22.1
FD002,lstm,mse,50,0.001,"hid64,layers3,p0.3",7,13.572,13.279,888.9,32.8
FD002,lstm,asym,30,0.001,"hid96,layers1,p0.3",7,15.212,13.932,769.4,19.5
FD002,lstm,asym,50,0.001,"hid96,layers2,p0.3",7,13.863,13.529,713.7,17.1
FD002,lstm,mse,30,0.001,"hid128,layers1,p0.2",7,15.007,13.731,878.2,59.3
FD002,lstm,mse,50,0.001,"hid128,layers2,p0.2",7,13.328,12.928,669.4,38.8
FD002,lstm,asym,30,0.001,"hid128,layers3,p0.2",7,42.4,42.945,32325.5,25.9
FD002,lstm,asym,50,0.001,"hid160,layers1,p0.2",7,13.275,12.505,676.6,75.4
FD002,lstm,mse,30,0.001,"hid160,layers2,p0.3",7,14.737,13.512,896.2,95.1
FD002,lstm,mse,30,0.001,"hid160,layers3,p0.3",42,41.758,43.42,60194.9,118.1
FD002,gru,mse,30,0.0005,"hid64,layers1,p0.2",42,17.984,15.955,1318.0,80.7
FD002,gru,mse,50,0.001,"hid64,layers1,p0.3",42,13.262,12.385,684.9,42.6
FD002,gru,mse,50,0.0005,"hid64,layers2,p0.2",42,13.037,12.897,755.1,27.5
FD002,gru,asym,30,0.001,"hid64,layers2,p0.3",42,14.998,13.934,859.8,24.7
FD002,gru,asym,30,0.0005,"hid64,layers3,p0.2",42,15.123,13.984,985.5,40.6
FD002,gru,asym,50,0.001,"hid64,layers3,p0.3",42,13.341,12.73,660.7,37.9
FD002,gru,asym,50,0.0005,"hid96,layers1,p0.2",42,13.247,12.754,671.9,62.5
FD002,gru,mse,30,0.001,"hid96,layers2,p0.2",42,14.91,13.882,863.1,15.8
FD002,gru,mse,30,0.0005,"hid96,layers2,p0.3",42,14.809,13.929,913.6,19.7
FD002,gru,mse,50,0.001,"hid96,layers3,p0.2",42,13.114,12.672,700.0,17.7
