fd,model,loss,window,lr,hp,seed,val_rmse,test_rmse,nasa,sec
FD002,cnn,asym,50,0.001,"ch128,k5,poolmax,p0.2",7,23.338,23.045,3734.2,22.0
FD002,cnn,mse,30,0.001,"ch128,k7,poolavg,p0.3",7,18.42,17.873,1254.2,10.4
FD002,cnn,mse,50,0.001,"ch128,k7,poolmax,p0.3",7,22.931,22.752,6667.6,16.6
FD002,lstm,asym,30,0.001,"hid64,layers1,p0.3",7,15.257,14.329,846.2,22.0
FD002,lstm,asym,50,0.001,"hid64,layers2,p0.3",7,13.41,13.232,756.8,20.2
FD002,lstm,mse,30,0.001,"hid96,layers1,p0.2",7,14.842,13.72,864.7,23.5
FD002,lstm,mse,50,0.001,"hid96,layers2,p0.2",7,13.391,12.921,739.7,15.8
FD002,lstm,asym,30,0.001,"hid96,layers3,p0.2",7,15.208,14.517,1087.1,23.4
FD002,lstm,asym,50,0.001,"hid128,layers1,p0.2",7,13.306,13.009,701.3,21.7
FD002,lstm,mse,30,0.001,"hid128,layers2,p0.3",7,14.869,15.083,1182.6,35.0
FD002,lstm,mse,50,0.001,"hid128,layers3,p0.3",7,41.336,42.958,37866.6,25.7
FD002,lstm,asym,30,0.001,"hid160,layers1,p0.3",7,15.085,14.323,944.7,64.7
FD002,lstm,asym,50,0.001,"hid160,layers2,p0.3",7,13.617,12.943,677.4,138.8
FD002,lstm,mse,50,0.0005,"hid160,layers3,p0.3",42,13.329,12.804,679.6,239.0
FD002,gru,asym,30,0.001,"hid64,layers1,p0.2",42,17.342,15.425,898.6,82.1
FD002,gru,asym,30,0.0005,"hid64,layers1,p0.3",42,14.871,13.785,826.4,69.2
FD002,gru,asym,50,0.001,"hid64,layers2,p0.2",42,13.234,13.043,690.9,21.9
FD002,gru,asym,50,0.0005,"hid64,layers2,p0.3",42,13.34,13.113,846.8,23.0
FD002,gru,mse,30,0.001,"hid64,layers3,p0.3",42,15.018,13.703,887.1,14.3
FD002,gru,mse,30,0.0005,"hid96,layers1,p0.2",42,15.369,14.3,915.9,43.4
FD002,gru,mse,50,0.001,"hid96,layers1,p0.3",42,13.022,12.878,711.6,20.0
FD002,gru,mse,50,0.0005,"hid96,layers2,p0.2",42,13.025,12.755,770.9,24.3
FD002,gru,asym,30,0.001,"hid96,layers2,p0.3",42,14.849,13.683,851.9,23.2
FD002,gru,asym,30,0.0005,"hid96,layers3,p0.2",42,14.86,13.646,834.7,20.4
FD002,gru,asym,50,0.001,"hid96,layers3,p0.3",42,13.185,12.583,691.0,14.8
FD002,gru,asym,50,0.0005,"hid128,layers1,p0.2",42,13.239,12.475,715.4,25.2
FD002,gru,mse,30,0.001,"hid128,layers2,p0.2",42,14.844,13.866,876.7,21.6
FD002,gru,mse,30,0.0005,"hid128,layers2,p0.3",42,14.843,13.86,876.5,33.7
FD002,gru,mse,50,0.001,"hid128,layers3,p0.2",42,13.05,12.421,689.0,34.8
FD002,gru,mse,50,0.0005,"hid128,layers3,p0.3",42,13.142,12.491,631.7,31.9
FD002,bilstm,asym,30,0.001,"hid64,layers1,p0.2",42,14.977,13.335,809.4,25.8
FD002,bilstm,asym,30,0.0005,"hid64,layers1,p0.3",42,15.041,14.387,921.7,40.4
FD002,bilstm,asym,50,0.001,"hid64,layers2,p0.2",42,13.489,13.11,825.9,22.8
FD002,bilstm,asym,50,0.0005,"hid64,layers2,p0.3",42,13.589,12.81,686.4,27.0
FD002,bilstm,mse,30,0.001,"hid96,layers1,p0.3",42,15.086,14.452,961.0,29.0
FD002,bilstm,mse,30,0.0005,"hid96,layers2,p0.2",42,14.873,13.882,1006.1,40.2
FD002,bilstm,mse,50,0.001,"hid96,layers2,p0.3",42,13.345,12.742,765.2,23.1
FD002,bilstm,mse,50,0.0005,"hid128,layers1,p0.2",42,13.352,12.967,771.4,30.4
FD002,bilstm,asym,30,0.001,"hid128,layers1,p0.3",42,14.983,14.088,792.7,47.4
FD002,bilstm,asym,30,0.0005,"hid128,layers2,p0.2",42,15.027,13.943,949.0,39.5
FD002,bilstm,asym,50,0.001,"hid128,layers2,p0.3",42,13.518,13.03,821.6,42.7
FD002,cnnlstm,asym,50,0.0005,"ch32,hid64,p0.2",42,15.262,14.502,871.1,22.8
FD002,cnnlstm,mse,30,0.001,"ch32,hid96,p0.2",42,15.974,14.567,1088.2,24.2
FD002,cnnlstm,mse,30,0.0005,"ch32,hid96,p0.3",42,16.537,15.078,1499.0,28.8
FD002,cnnlstm,mse,50,0.001,"ch32,hid128,p0.2",42,14.331,14.277,908.7,24.3
FD002,cnnlstm,mse,50,0.0005,"ch32,hid128,p0.3",42,14.615,14.125,1013.3,28.7
FD002,cnnlstm,asym,30,0.001,"ch64,hid64,p0.2",42,16.348,15.537,1307.0,16.2
FD002,cnnlstm,asym,30,0.0005,"ch64,hid64,p0.3",42,17.184,17.728,1553.9,21.0
