fd,model,loss,window,lr,hp,seed,val_rmse,test_rmse,nasa,sec
FD002,cnn,mse,50,0.001,"ch128,k5,poolavg,p0.3",7,20.821,22.205,4349.6,15.0
FD002,cnn,asym,30,0.001,"ch128,k5,poolmax,p0.3",7,20.785,19.853,2679.8,25.6
FD002,cnn,asym,50,0.001,"ch128,k7,poolavg,p0.3",7,19.737,19.972,1899.5,15.8
FD002,lstm,mse,30,0.001,"hid64,layers1,p0.2",7,15.0,13.765,904.7,22.3
FD002,lstm,mse,50,0.001,"hid64,layers2,p0.2",7,13.791,12.887,770.5,17.0
FD002,lstm,asym,30,0.001,"hid64,layers3,p0.2",7,15.432,14.853,1139.3,19.0
FD002,lstm,asym,50,0.001,"hid96,layers1,p0.2",7,13.377,12.577,719.5,18.7
FD002,lstm,mse,30,0.001,"hid96,layers2,p0.3",7,15.048,14.665,1298.1,22.1
FD002,lstm,mse,50,0.001,"hid96,layers3,p0.3",7,13.931,13.611,693.1,23.7
FD002,lstm,asym,30,0.001,"hid128,layers1,p0.3",7,15.045,13.971,836.0,22.5
FD002,lstm,asym,50,0.001,"hid128,layers2,p0.3",7,13.478,13.027,700.0,34.1
FD002,lstm,mse,30,0.001,"hid160,layers1,p0.2",7,15.012,13.998,841.2,80.2
FD002,lstm,mse,50,0.001,"hid160,layers2,p0.2",7,13.404,12.73,701.0,122.3
FD002,lstm,asym,30,0.001,"hid160,layers3,p0.2",7,15.074,13.801,1032.9,222.4
FD002,lstm,asym,50,0.001,"hid160,layers3,p0.3",42,13.003,12.591,689.8,213.6
FD002,gru,asym,50,0.0005,"hid64,layers1,p0.2",42,13.066,12.652,648.0,28.6
FD002,gru,mse,30,0.001,"hid64,layers2,p0.2",42,14.792,13.723,903.0,14.0
FD002,gru,mse,30,0.0005,"hid64,layers2,p0.3",42,15.068,14.227,1071.6,28.6
FD002,gru,mse,50,0.001,"hid64,layers3,p0.2",42,13.34,12.791,674.9,22.1
FD002,gru,mse,50,0.0005,"hid64,layers3,p0.3",42,13.248,13.246,761.7,26.5
FD002,gru,asym,30,0.001,"hid96,layers1,p0.2",42,16.667,15.55,1032.3,42.7
FD002,gru,asym,30,0.0005,"hid96,layers1,p0.3",42,14.802,13.376,758.0,48.9
FD002,gru,asym,50,0.001,"hid96,layers2,p0.2",42,13.134,12.656,734.5,27.4
FD002,gru,asym,50,0.0005,"hid96,layers2,p0.3",42,13.222,12.79,754.2,34.6
FD002,gru,mse,30,0.001,"hid96,layers3,p0.3",42,14.781,13.504,838.2,26.2
FD002,gru,mse,30,0.0005,"hid128,layers1,p0.2",42,14.874,14.263,1003.1,51.3
FD002,gru,mse,50,0.001,"hid128,layers1,p0.3",42,13.146,12.502,787.4,15.4
FD002,gru,mse,50,0.0005,"hid128,layers2,p0.2",42,13.201,12.673,655.8,22.9
FD002,gru,asym,30,0.001,"hid128,layers2,p0.3",42,14.689,13.814,892.9,26.1
FD002,gru,asym,30,0.0005,"hid128,layers3,p0.2",42,14.978,13.986,935.0,41.4
